,binance-count-01,binance-btc-01,binance-midprice-01,binance-count-12,binance-btc-12,binance-midprice-12,binance-count-23,binance-btc-23,binance-midprice-23
2953892473,20135,71.86649542519352,0.07526140634328539,48457.0,138.64202071542442,0.07515278536238106,497.0,1.4172626269841875,0.07483486533029879
1632746968,731,2.438370091197324,0.07507473792865456,20135.0,71.86649542519352,0.07526140634328539,48457.0,138.64202071542442,0.07515278536238106
3769147045,451,1.6697548375583975,0.07515756808748059,731.0,2.438370091197324,0.07507473792865456,20135.0,71.86649542519352,0.07526140634328539
764589927,5572,17.05687590377514,0.07521197863456142,451.0,1.6697548375583975,0.07515756808748059,731.0,2.438370091197324,0.07507473792865456
464850656,13428,43.141005235797685,0.07522146119141301,5572.0,17.05687590377514,0.07521197863456142,451.0,1.6697548375583975,0.07515756808748059
2423368762,10992,34.0993336163812,0.07562954277358526,13428.0,43.141005235797685,0.07522146119141301,5572.0,17.05687590377514,0.07521197863456142
1154703441,22718,86.04633870902617,0.0756968271475156,10992.0,34.0993336163812,0.07562954277358526,13428.0,43.141005235797685,0.07522146119141301
624829004,9389,36.68147830396668,0.0757524571746664,22718.0,86.04633870902617,0.0756968271475156,10992.0,34.0993336163812,0.07562954277358526
2733704106,1166,3.019950963598242,0.07569778260630323,9389.0,36.68147830396668,0.0757524571746664,22718.0,86.04633870902617,0.0756968271475156
2346234534,2301,10.8609496645397,0.07572443015799829,1166.0,3.019950963598242,0.07569778260630323,9389.0,36.68147830396668,0.0757524571746664
1287470608,1929,6.279604926191755,0.07557272380422529,2301.0,10.8609496645397,0.07572443015799829,1166.0,3.019950963598242,0.07569778260630323
4085529763,17679,50.185936770954704,0.07566746030377546,1929.0,6.279604926191755,0.07557272380422529,2301.0,10.8609496645397,0.07572443015799829
276823178,106,0.2258660868197194,0.07561478001341382,17679.0,50.185936770954704,0.07566746030377546,1929.0,6.279604926191755,0.07557272380422529
1746604569,11542,35.37265261209891,0.07581377680394084,106.0,0.2258660868197194,0.07561478001341382,17679.0,50.185936770954704,0.07566746030377546
1652899603,10940,37.2374715309168,0.07612929458996347,11542.0,35.37265261209891,0.07581377680394084,106.0,0.2258660868197194,0.07561478001341382
1065230296,6160,19.550096844421514,0.07612145529631553,10940.0,37.2374715309168,0.07612929458996347,11542.0,35.37265261209891,0.07581377680394084
923201535,5068,18.394578058314053,0.07510414041733351,6160.0,19.550096844421514,0.07612145529631553,10940.0,37.2374715309168,0.07612929458996347
3764562796,2414,8.536624777313552,0.07513954196961063,5068.0,18.394578058314053,0.07510414041733351,6160.0,19.550096844421514,0.07612145529631553
1095727188,2236,9.394360853819904,0.07519059309574046,2414.0,8.536624777313552,0.07513954196961063,5068.0,18.394578058314053,0.07510414041733351
1041915533,29329,102.40248375336454,0.0755739762125935,2236.0,9.394360853819904,0.07519059309574046,2414.0,8.536624777313552,0.07513954196961063
1234058600,3093,8.448050408633753,0.07532022646285536,29329.0,102.40248375336454,0.0755739762125935,2236.0,9.394360853819904,0.07519059309574046
27999810,528,1.5432240405160058,0.07530883290170136,3093.0,8.448050408633753,0.07532022646285536,29329.0,102.40248375336454,0.0755739762125935
2568030389,1350,5.021438433753729,0.07541587706747006,528.0,1.5432240405160058,0.07530883290170136,3093.0,8.448050408633753,0.07532022646285536
1778772320,1318,5.196006925781612,0.0752013664458579,1350.0,5.021438433753729,0.07541587706747006,528.0,1.5432240405160058,0.07530883290170136
544146919,563,2.326670774911597,0.07519634847306648,1318.0,5.196006925781612,0.0752013664458579,1350.0,5.021438433753729,0.07541587706747006
686064389,9280,36.65142125498707,0.07552023069588194,563.0,2.326670774911597,0.07519634847306648,1318.0,5.196006925781612,0.0752013664458579
